Algo,Run,Width,Height,Density,TimeMs,PathLen
Dijkstra,4,20,10,0.10,0,20
AStar,4,20,10,0.10,0,20
BFS,5,20,10,0.10,0,20
Dijkstra,5,20,10,0.10,0,20
AStar,5,20,10,0.10,0,20
BFS,1,20,10,0.20,0,20
Dijkstra,1,20,10,0.20,0,20
AStar,1,20,10,0.20,0,19
BFS,2,20,10,0.20,0,20
Dijkstra,2,20,10,0.20,0,20
AStar,2,20,10,0.20,0,19
BFS,3,20,10,0.20,0,20
Dijkstra,3,20,10,0.20,0,20
AStar,3,20,10,0.20,0,19
BFS,4,20,10,0.20,0,20
Dijkstra,4,20,10,0.20,0,20
AStar,4,20,10,0.20,0,19
BFS,5,20,10,0.20,0,20
Dijkstra,5,20,10,0.20,0,20
AStar,5,20,10,0.20,0,19
BFS,1,20,10,0.30,0,0
Dijkstra,1,20,10,0.30,0,0
AStar,1,20,10,0.30,0,0
BFS,2,20,10,0.30,0,0
Dijkstra,2,20,10,0.30,0,0
AStar,2,20,10,0.30,0,0
BFS,3,20,10,0.30,0,0
Dijkstra,3,20,10,0.30,0,0
AStar,3,20,10,0.30,0,0
BFS,4,20,10,0.30,0,0
Dijkstra,4,20,10,0.30,0,0
AStar,4,20,10,0.30,0,0
BFS,5,20,10,0.30,0,0
Dijkstra,5,20,10,0.30,0,0
AStar,5,20,10,0.30,0,0
BFS,1,20,20,0.10,0,22
Dijkstra,1,20,20,0.10,0,22
AStar,1,20,20,0.10,0,22
BFS,2,20,20,0.10,0,22
Dijkstra,2,20,20,0.10,0,22
AStar,2,20,20,0.10,0,22
BFS,3,20,20,0.10,0,22
Dijkstra,3,20,20,0.10,0,22
AStar,3,20,20,0.10,0,22
BFS,4,20,20,0.10,0,22
Dijkstra,4,20,20,0.10,0,22
AStar,4,20,20,0.10,0,22
BFS,5,20,20,0.10,0,22
Dijkstra,5,20,20,0.10,0,22
AStar,5,20,20,0.10,0,22
BFS,1,20,20,0.20,0,0
Dijkstra,1,20,20,0.20,0,0
AStar,1,20,20,0.20,1,0
BFS,2,20,20,0.20,0,0
Dijkstra,2,20,20,0.20,0,0
AStar,2,20,20,0.20,1,0
BFS,3,20,20,0.20,0,0
Dijkstra,3,20,20,0.20,0,0
AStar,3,20,20,0.20,1,0
BFS,4,20,20,0.20,0,0
Dijkstra,4,20,20,0.20,0,0
AStar,4,20,20,0.20,1,0
BFS,5,20,20,0.20,0,0
Dijkstra,5,20,20,0.20,0,0
AStar,5,20,20,0.20,2,0
BFS,1,20,20,0.30,0,23
Dijkstra,1,20,20,0.30,0,23
AStar,1,20,20,0.30,0,22
BFS,2,20,20,0.30,0,23
Dijkstra,2,20,20,0.30,0,23
AStar,2,20,20,0.30,0,22
BFS,3,20,20,0.30,0,23
Dijkstra,3,20,20,0.30,0,23
AStar,3,20,20,0.30,0,22
BFS,4,20,20,0.30,0,23
Dijkstra,4,20,20,0.30,0,23
AStar,4,20,20,0.30,0,22
BFS,5,20,20,0.30,0,23
Dijkstra,5,20,20,0.30,0,23
AStar,5,20,20,0.30,0,22
BFS,1,20,50,0.10,1,50
Dijkstra,1,20,50,0.10,2,50
AStar,1,20,50,0.10,1,49
BFS,2,20,50,0.10,1,50
Dijkstra,2,20,50,0.10,2,50
AStar,2,20,50,0.10,1,49
BFS,3,20,50,0.10,1,50
Dijkstra,3,20,50,0.10,2,50
AStar,3,20,50,0.10,1,49
BFS,4,20,50,0.10,1,50
Dijkstra,4,20,50,0.10,2,50
AStar,4,20,50,0.10,1,49
BFS,5,20,50,0.10,1,50
Dijkstra,5,20,50,0.10,2,50
AStar,5,20,50,0.10,1,49
BFS,1,20,50,0.20,1,51
Dijkstra,1,20,50,0.20,1,51
AStar,1,20,50,0.20,2,50
BFS,2,20,50,0.20,1,51
Dijkstra,2,20,50,0.20,1,51
AStar,2,20,50,0.20,2,50
BFS,3,20,50,0.20,1,51
Dijkstra,3,20,50,0.20,1,51
AStar,3,20,50,0.20,2,50
BFS,4,20,50,0.20,1,51
Dijkstra,4,20,50,0.20,1,51
AStar,4,20,50,0.20,2,50
BFS,5,20,50,0.20,1,51
Dijkstra,5,20,50,0.20,1,51
AStar,5,20,50,0.20,2,50
